                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7564,                 4.5679,                 4.3007,                      0,                      0,                      0,                      0,                 3.8927,                  4.709,                 4.1554,                 0.0991,                 0.0001,                 0.0001
                      1,                 4.2607,                 4.6162,                 4.3837,                0.00036,                0.01389,                0.00018,                  2e-05,                 3.8874,                 4.6941,                 4.1504,               0.097297,             0.00029703,             0.00029703
                      2,                 3.9479,                   4.36,                 4.3281,                0.00022,                0.02778,                0.00012,                  3e-05,                 3.8833,                 4.6812,                 4.1459,                0.09549,              0.0004901,              0.0004901
                      3,                 4.3748,                 4.5409,                 4.3096,                0.00043,                0.05556,                0.00026,                 0.0001,                 3.8787,                 4.6666,                 4.1409,               0.093679,             0.00067921,             0.00067921
                      4,                 3.7034,                 4.7643,                 4.3211,                0.00043,                0.05556,                0.00026,                  9e-05,                 3.8731,                 4.6483,                 4.1348,               0.091864,             0.00086436,             0.00086436
                      5,                 3.9377,                 4.4106,                 4.2585,                0.00043,                0.05556,                0.00024,                  8e-05,                  3.866,                  4.629,                 4.1273,               0.090046,              0.0010455,              0.0010455
                      6,                 3.9555,                 4.3948,                 4.2718,                0.00043,                0.05556,                0.00025,                  7e-05,                 3.8585,                 4.6125,                 4.1198,               0.088223,              0.0012228,              0.0012228
                      7,                 3.6432,                 4.5017,                 4.2395,                0.00043,                0.05556,                0.00024,                  9e-05,                 3.8496,                 4.5958,                 4.1117,               0.086396,               0.001396,               0.001396
                      8,                 3.3596,                  4.416,                 4.2493,                0.00043,                0.05556,                0.00025,                 0.0001,                 3.8456,                 4.5867,                 4.1073,               0.084565,              0.0015654,              0.0015654
                      9,                 3.8842,                 4.4778,                 4.1475,                0.00043,                0.05556,                0.00025,                  8e-05,                  3.841,                 4.5761,                 4.1023,               0.082731,              0.0017307,              0.0017307
                     10,                 3.7816,                 4.2457,                 4.2217,                0.00043,                0.05556,                0.00025,                  8e-05,                 3.8333,                 4.5632,                  4.095,               0.080892,              0.0018921,              0.0018921
                     11,                 4.0139,                 4.3533,                 4.2387,                0.00032,                0.04167,                0.00019,                  8e-05,                 3.8237,                 4.5496,                 4.0864,                0.07905,              0.0020495,              0.0020495
                     12,                 4.0743,                 4.3062,                 4.2722,                0.00033,                0.04167,                0.00018,                  5e-05,                 3.8159,                 4.5383,                 4.0794,               0.077203,               0.002203,               0.002203
                     13,                 4.1531,                 4.4642,                 4.1815,                0.00043,                0.05556,                0.00024,                  6e-05,                  3.809,                 4.5289,                 4.0725,               0.075353,              0.0023525,              0.0023525
                     14,                 3.6462,                 4.2818,                 4.2678,                0.00032,                0.04167,                0.00018,                  5e-05,                 3.8028,                 4.5204,                 4.0662,               0.073498,              0.0024981,              0.0024981
                     15,                 3.7494,                 4.3532,                 4.1985,                0.00043,                0.05556,                0.00025,                  8e-05,                 3.7963,                 4.5129,                   4.06,                0.07164,              0.0026396,              0.0026396
                     16,                 3.8991,                 4.1969,                 4.0971,                0.00043,                0.05556,                0.00026,                  9e-05,                 3.7889,                 4.5047,                 4.0527,               0.069777,              0.0027773,              0.0027773
                     17,                 3.4727,                   4.28,                 4.2385,                0.00043,                0.05556,                0.00024,                  6e-05,                 3.7826,                 4.4975,                 4.0461,               0.067911,              0.0029109,              0.0029109
                     18,                 3.4684,                 4.1883,                 4.1921,                0.00043,                0.05556,                0.00025,                  6e-05,                 3.7758,                 4.4903,                 4.0399,               0.066041,              0.0030407,              0.0030407
                     19,                 4.2945,                 4.6312,                 4.0804,                0.00043,                0.05556,                0.00025,                  7e-05,                  3.769,                 4.4838,                 4.0337,               0.064166,              0.0031664,              0.0031664
