                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7564,                 4.5679,                 4.3007,                      0,                      0,                      0,                      0,                 3.8927,                  4.709,                 4.1554,                 0.0991,                 0.0001,                 0.0001
                      1,                 4.2608,                 4.6162,                 4.3837,                      0,                      0,                      0,                      0,                 3.8874,                 4.6941,                 4.1504,               0.097294,             0.00029406,             0.00029406
                      2,                 3.9596,                 4.3722,                  4.329,                0.00043,                0.05556,                0.00025,                  8e-05,                 3.8831,                 4.6804,                 4.1457,                0.09548,              0.0004802,              0.0004802
                      3,                   4.33,                 4.5059,                  4.325,                0.00043,                0.05556,                0.00026,                  8e-05,                 3.8785,                 4.6659,                 4.1407,               0.093658,             0.00065842,             0.00065842
                      4,                   3.72,                  4.737,                 4.3121,                0.00043,                0.05556,                0.00025,                  7e-05,                 3.8735,                 4.6498,                 4.1352,               0.091829,             0.00082872,             0.00082872
                      5,                 3.9995,                  4.399,                 4.2446,                0.00043,                0.05556,                0.00024,                  8e-05,                 3.8654,                 4.6286,                 4.1267,               0.089991,              0.0009911,              0.0009911
                      6,                 3.9928,                 4.4328,                 4.2595,                0.00043,                0.05556,                0.00025,                  8e-05,                 3.8575,                 4.6117,                  4.119,               0.088146,              0.0011456,              0.0011456
                      7,                 3.7163,                 4.4766,                  4.248,                0.00043,                0.05556,                0.00025,                  9e-05,                 3.8493,                 4.5955,                 4.1111,               0.086292,              0.0012921,              0.0012921
                      8,                 3.3598,                 4.4214,                 4.2509,                0.00032,                0.04167,                0.00018,                  6e-05,                  3.846,                 4.5877,                 4.1074,               0.084431,              0.0014307,              0.0014307
                      9,                 3.8352,                 4.5023,                 4.1557,                0.00043,                0.05556,                0.00025,                  5e-05,                 3.8424,                 4.5794,                 4.1035,               0.082561,              0.0015614,              0.0015614
                     10,                 3.8179,                 4.2718,                 4.2174,                0.00032,                0.04167,                0.00018,                  4e-05,                 3.8369,                   4.57,                 4.0984,               0.080684,              0.0016842,              0.0016842
                     11,                 4.0301,                 4.4104,                 4.2015,                0.00043,                0.05556,                0.00025,                  9e-05,                  3.828,                 4.5571,                 4.0903,               0.078799,              0.0017991,              0.0017991
                     12,                 4.0325,                  4.312,                 4.3314,                0.00043,                0.05556,                0.00025,                  8e-05,                  3.821,                 4.5464,                  4.084,               0.076906,               0.001906,               0.001906
                     13,                 4.1797,                 4.4771,                 4.1615,                0.00032,                0.04167,                0.00018,                  6e-05,                 3.8135,                 4.5367,                 4.0772,               0.075005,               0.002005,               0.002005
                     14,                 3.6933,                 4.2645,                 4.2413,                0.00043,                0.05556,                0.00025,                  6e-05,                 3.8076,                 4.5284,                 4.0712,               0.073096,              0.0020961,              0.0020961
                     15,                 3.6048,                 4.3201,                 4.2732,                0.00043,                0.05556,                0.00025,                 0.0001,                 3.8016,                 4.5207,                 4.0652,               0.071179,              0.0021793,              0.0021793
                     16,                 3.9532,                 4.2311,                 4.0961,                0.00032,                0.04167,                0.00018,                  4e-05,                 3.7947,                 4.5127,                 4.0584,               0.069255,              0.0022546,              0.0022546
                     17,                 3.4993,                 4.2727,                 4.2472,                0.00043,                0.05556,                0.00025,                  9e-05,                 3.7893,                 4.5058,                 4.0526,               0.067322,              0.0023219,              0.0023219
                     18,                 3.3931,                 4.2134,                 4.2116,                0.00043,                0.05556,                0.00026,                  9e-05,                 3.7839,                 4.4996,                 4.0469,               0.065381,              0.0023813,              0.0023813
                     19,                 4.3506,                 4.6295,                 4.1339,                0.00043,                0.05556,                0.00026,                 0.0001,                 3.7783,                 4.4939,                  4.042,               0.063433,              0.0024328,              0.0024328
                     20,                 4.1319,                 4.2268,                 4.1155,                0.00043,                0.05556,                0.00025,                  9e-05,                 3.7731,                 4.4884,                 4.0373,               0.061476,              0.0024764,              0.0024764
                     21,                 3.5181,                 4.3292,                 4.1488,                0.00043,                0.05556,                0.00026,                 0.0001,                 3.7683,                 4.4831,                 4.0328,               0.059512,              0.0025121,              0.0025121
                     22,                  4.164,                  4.243,                  4.122,                0.00043,                0.05556,                0.00026,                 0.0001,                 3.7628,                 4.4775,                 4.0281,                0.05754,              0.0025398,              0.0025398
                     23,                 3.7131,                  4.222,                 4.0739,                0.00043,                0.05556,                0.00026,                 0.0001,                 3.7552,                 4.4709,                 4.0218,                0.05556,              0.0025596,              0.0025596
                     24,                 3.6952,                 4.5026,                 4.1482,                0.00043,                0.05556,                0.00026,                 0.0001,                 3.7495,                 4.4657,                 4.0166,               0.053572,              0.0025715,              0.0025715
                     25,                 3.5255,                 4.2477,                 4.1764,                0.00043,                0.05556,                0.00026,                  9e-05,                 3.7439,                 4.4603,                 4.0112,               0.051576,              0.0025755,              0.0025755
                     26,                  3.902,                 4.0552,                 4.1698,                0.00043,                0.05556,                0.00027,                 0.0001,                 3.7393,                 4.4561,                 4.0066,               0.049572,              0.0025716,              0.0025716
